MUNICIPI,DISTRICTE,SECCIO,MUNDISSEC,area,perimeter
"080018","01","001","08001801001",913868.783203125,4540.41188419601
"080018","01","002","08001801002",126857.642822266,1617.19228911498
"080018","01","003","08001801003",2567460.2857666,10955.9455433965
"080018","01","004","08001801004",6637347.04638672,15763.2933311555
"080018","01","005","08001801005",101229.982421875,1472.48608393216
"080018","01","007","08001801007",9368354.30273438,15326.4234464293
"080018","01","008","08001801008",250982.612670898,2808.28963810241
"080023","01","001","08002301001",43219824.71875,40549.5756362415
"080039","01","001","08003901001",2018043.5279541,6272.94101919702
"080039","01","002","08003901002",1069382.31274414,5158.81059061748
"080039","01","003","08003901003",1334826.57556152,5095.95078367426
"080039","01","004","08003901004",5197637.36706543,10037.455968798
"080044","01","001","08004401001",13778821.9681396,23444.0297549296
"080057","01","001","08005701001",2694478.35864258,10127.9380387472
"080057","01","002","08005701002",911006.237304688,5817.60309701684
"080057","01","003","08005701003",4028792.33435059,12304.5862300089
"080057","01","004","08005701004",2487580.71826172,6698.8255743492
"080057","01","005","08005701005",3903245.33728027,8803.29730118137
"080060","01","001","08006001001",150434.549926758,2285.46187280385
"080060","01","002","08006001002",506061.561889648,8078.3789716039
"080060","01","003","08006001003",649890.464111328,4458.45763247228
"080060","01","004","08006001004",2015641.77746582,10273.7346446992
"080060","02","001","08006002001",159156.799438477,2273.49697494137
"080060","02","002","08006002002",109442.049194336,1526.88250396961
"080060","02","003","08006002003",2638121.79223633,8306.51037409043
"080060","02","004","08006002004",200567.4765625,2413.31410882728
"080060","02","005","08006002005",43508.6763916016,1005.48938261751
"080076","01","001","08007601001",6165102.8236084,14421.3944464119
"080076","01","002","08007601002",4419954.44580078,12317.9424629366
"080076","02","001","08007602001",7379521.36401367,14214.1760451648
"080076","02","002","08007602002",3716749.13500977,8616.48664857437
"080082","01","001","08008201001",47382323.3306885,46150.8663199991
"080095","01","001","08009501001",4868149.61779785,14261.8233440248
"080095","01","002","08009501002",2702303.72766113,8113.58289737056
"080095","01","003","08009501003",1482093.73925781,6277.53224326835
"080095","01","004","08009501004",7736342.65112305,15326.4787522346
"080095","01","005","08009501005",239771.435058594,2803.51652112015
"080095","01","006","08009501006",620343.458496094,4284.4614879629
"080095","02","001","08009502001",5430634.35119629,10627.5605522282
"080095","02","002","08009502002",2238270.11352539,6591.17725615925
"080109","01","001","08010901001",238853.775878906,2250.66141131424
"080109","02","001","08010902001",336463.113891602,2871.44560942623
"080109","02","002","08010902002",17163656.7520752,29112.8000320967
"080109","02","003","08010902003",334309.755981445,2515.94373445391
"080116","01","001","08011601001",27168649.3388672,26623.122586888
"080121","01","001","08012101001",63561732.9869385,53800.0342495113
"080137","01","001","08013701001",29147110.3795166,42428.8517737624
"080142","01","001","08014201001",7933523.12866211,13962.7566306323
"080155","01","001","08015501001",121563.627075195,1411.61837727041
"080155","01","002","08015501002",92101.6047363281,1420.78294120138
"080155","01","003","08015501003",79152.6190185547,1321.38982655584
"080155","01","004","08015501004",48503.9343261719,971.649421403309
"080155","01","005","08015501005",72868.4018554688,1154.73052448893
"080155","01","007","08015501007",50571.7448730469,1023.54552866996
"080155","01","008","08015501008",39746.75,900.707175399928
"080155","02","001","08015502001",149233.166259766,1720.62024182146
"080155","02","002","08015502002",100841.803100586,1530.12830633598
"080155","02","003","08015502003",66368.912109375,1118.12116619895
"080155","02","004","08015502004",86109.3986816406,1409.48171764696
"080155","02","005","08015502005",63824.9691162109,1309.79308224605
"080155","02","007","08015502007",22340.6015625,659.28560606955
"080155","02","008","08015502008",110093.237182617,1554.5330732017
"080155","02","009","08015502009",8745.60778808594,398.458284826795
"080155","02","010","08015502010",26075.1121826172,768.95905467193
"080155","02","011","08015502011",21296.9114990234,746.596682674809
"080155","02","012","08015502012",40178.7767333984,1015.77854514653
"080155","02","013","08015502013",23049.9725341797,730.907123797407
"080155","02","015","08015502015",33416.7908935547,846.410176249546
"080155","03","001","08015503001",385779.558837891,2858.53466653701
"080155","03","003","08015503003",62275.3115234375,1130.55903696359
"080155","03","004","08015503004",53294.9276123047,936.326000798677
"080155","03","005","08015503005",70152.2249755859,1146.48443726654
"080155","03","006","08015503006",51981.8098144531,950.334144258087
"080155","03","007","08015503007",48534.1599121094,966.778355702912
"080155","03","008","08015503008",70962.5177001953,1071.67203582707
"080155","03","009","08015503009",76464.1494140625,1119.15699572054
"080155","03","010","08015503010",26280.7586669922,700.56676672053
"080155","03","011","08015503011",47956.9711914062,935.710333382221
"080155","03","013","08015503013",219849.758300781,2420.26409552114
"080155","04","001","08015504001",399240.932739258,2779.02031366461
"080155","04","002","08015504002",137059.452758789,1759.62625114544
"080155","04","003","08015504003",64063.0904541016,1060.49494002353
"080155","04","004","08015504004",99286.9302978516,1417.42336084843
"080155","04","005","08015504005",57415.529296875,1029.367434448
"080155","04","006","08015504006",176333.595581055,2300.29995612845
"080155","04","007","08015504007",266789.956298828,2193.51849282588
"080155","04","008","08015504008",28204.1481933594,737.15528874918
"080155","04","009","08015504009",30027.9927978516,700.716358183733
"080155","04","010","08015504010",20952.9272460938,728.996864883537
"080155","04","011","08015504011",79720.2775878906,1380.17134812267
"080155","04","012","08015504012",71657.4060058594,1327.25729954239
"080155","04","013","08015504013",49094.3565673828,1108.24830182091
"080155","04","014","08015504014",245338.089355469,2246.11763115984
"080155","04","015","08015504015",162058.610351562,1877.13175861832
"080155","04","016","08015504016",80285.6612548828,1392.23292865655
"080155","05","001","08015505001",123684.172241211,1723.54085943019
"080155","05","002","08015505002",26740.2169189453,661.329016082386
"080155","05","003","08015505003",256530.582519531,2079.07205636547
"080155","05","004","08015505004",126161.456787109,1872.67574064062
"080155","05","005","08015505005",1411998.43933105,5046.49318103186
"080155","05","006","08015505006",49888.3656005859,1128.10163696597
"080155","06","001","08015506001",180055.614501953,1699.26331080914
"080155","06","002","08015506002",8678739.13879395,14219.0399463953
"080155","06","003","08015506003",65546.0447998047,2135.82495499668
"080155","06","004","08015506004",55634.2739257812,1136.55115642864
"080155","06","005","08015506005",88283.4652099609,1374.2145350954
"080155","06","006","08015506006",465590.795166016,3942.86020243029
"080155","07","001","08015507001",75691.24609375,1119.18672879435
"080155","07","002","08015507002",92169.2395019531,1336.44191222808
"080155","07","003","08015507003",17855.8979492188,564.364357117642
"080155","07","004","08015507004",42995.0466308594,1095.98081442172
"080155","07","005","08015507005",31775.4454345703,808.110082225686
"080155","07","006","08015507006",35354.7491455078,803.101420976272
"080155","07","007","08015507007",18283.9213867188,585.521128146178
"080155","07","008","08015507008",23039.0673828125,818.202307371835
"080155","07","009","08015507009",14459.0334472656,466.611171586023
"080155","07","010","08015507010",259004.741455078,2540.29025298507
"080155","07","011","08015507011",60767.4086914062,1337.65020059496
"080155","07","012","08015507012",24112.6801757812,929.569590176004
"080155","07","013","08015507013",38648.9886474609,1188.22790879674
"080155","07","014","08015507014",88000.2269287109,1484.24617229942
"080155","07","015","08015507015",21782.1431884766,777.629337442679
"080155","07","017","08015507017",64729.5864257812,1713.3743748583
"080155","07","018","08015507018",27775.9453125,797.404575161847
"080155","07","020","08015507020",27773.1630859375,703.195373742486
"080155","07","021","08015507021",60159.0308837891,1029.54442816192
"080155","07","022","08015507022",16764.7290039062,525.951910612174
"080155","07","023","08015507023",55466.8342285156,1060.36624591183
"080155","07","024","08015507024",52734.212890625,974.884372797315
"080155","07","028","08015507028",30259.2086181641,730.694737861863
"080155","07","029","08015507029",54509.7426757812,1106.06332861904
"080155","07","030","08015507030",92112.0321044922,1488.75813091256
"080155","07","031","08015507031",35248.0474853516,791.224661592618
"080155","08","001","08015508001",53078.7381591797,1235.37073946863
"080155","08","002","08015508002",82396.6285400391,1485.95586862583
"080155","08","003","08015508003",440762.081787109,3412.93567154571
"080155","08","004","08015508004",21028.07421875,580.765477970233
"080155","08","005","08015508005",40509.0665283203,782.369781115482
"080155","08","006","08015508006",20611.5793457031,721.979227924262
"080155","08","007","08015508007",35835.7133789062,768.942289613742
"080155","08","008","08015508008",71621.669921875,1107.91982739575
"080155","08","009","08015508009",108400.892578125,1919.45818837826
"080155","08","011","08015508011",24920.1909179688,980.257058557477
"080155","08","012","08015508012",463725.963500977,2763.39369710269
"080155","08","013","08015508013",28910.4841308594,743.425379290509
"080155","09","001","08015509001",35170.6965332031,936.913914842087
"080155","09","002","08015509002",27575.7305908203,725.85097269563
"080155","09","003","08015509003",150731.521972656,1847.89617686331
"080155","09","004","08015509004",45975.4354248047,1000.32977880016
"080155","09","005","08015509005",51682.0144042969,1192.15570332785
"080155","09","006","08015509006",65370.0902099609,1246.3524812801
"080155","09","008","08015509008",34099.537109375,887.426722729758
"080155","09","009","08015509009",38664.7387695312,909.317176064705
"080155","09","010","08015509010",49845.4733886719,1038.15424297257
"080155","09","011","08015509011",19014.3120117188,649.231051115493
"080155","09","012","08015509012",152439.138671875,1782.2631259304
"080155","09","013","08015509013",16568.044921875,545.288071706745
"080155","09","014","08015509014",23837.8598632812,633.044327541668
"080155","09","015","08015509015",31834.7612304688,793.942376838812
"080155","09","016","08015509016",43899.4743652344,927.766557546321
"080155","09","017","08015509017",29569.9768066406,856.05423933747
"080155","09","018","08015509018",51400.5322265625,1307.04579294079
"080155","09","019","08015509019",94564.8566894531,1631.17110934178
"080155","09","020","08015509020",20930.8564453125,643.539400993727
"080155","09","021","08015509021",38565.6846923828,786.180413188825
"080155","09","022","08015509022",28345.4862060547,801.580497388307
"080155","09","023","08015509023",11423.0369873047,459.703654346632
"080155","09","024","08015509024",27034.6302490234,958.971723460052
"080155","09","025","08015509025",31647.87109375,753.353121593321
"080155","09","026","08015509026",16734.5988769531,605.866999534227
"080155","09","027","08015509027",19061.0798339844,570.000559286027
"080155","09","028","08015509028",29441.6384277344,795.54742931469
"080155","09","030","08015509030",739665.153076172,7605.60552988449
"080155","09","031","08015509031",47197.1196289062,1012.42874250355
"080155","09","032","08015509032",25865.1807861328,674.71359195391
"080155","09","033","08015509033",40651.5317382812,1312.59101988033
"080155","09","034","08015509034",37983.9808349609,922.03508396778
"080155","09","035","08015509035",26194.3198242188,661.19755047228
"080155","09","036","08015509036",24389.6600341797,850.615365028977
