MUNICIPI,DISTRICTE,SECCIO,MUNDISSEC,xcoord,ycoord
"080018","01","001","08001801001",1.90557880775581,41.5106888713415
"080018","01","002","08001801002",1.90086468708675,41.5200949734537
"080018","01","003","08001801003",1.9129792180351,41.5133545310869
"080018","01","004","08001801004",1.88155707192249,41.514791425751
"080018","01","005","08001801005",1.89970233882244,41.5175240629415
"080018","01","007","08001801007",1.93015992475255,41.5186849249974
"080023","01","001","08002301001",1.617963491606,41.7295233461409
"080039","01","001","08003901001",2.3010636132387,41.4963134182583
"080039","01","002","08003901002",2.29989719709507,41.4822760026467
"080039","01","003","08003901003",2.28987553775082,41.4900230786796
"080039","01","004","08003901004",2.28694450824876,41.5061877446374
"080044","01","001","08004401001",2.09214972031011,42.1208367294792
"080057","01","001","08005701001",2.24775136372684,41.6877942793235
"080057","01","002","08005701002",2.2619227580167,41.6701685131586
"080057","01","003","08005701003",2.23506153796092,41.6639331344509
"080057","01","003","08005701003",2.26142648386366,41.6591580434885
"080057","01","004","08005701004",2.24605008306085,41.6694134220721
"080057","01","005","08005701005",2.26392676049574,41.6459359005635
"080060","01","001","08006001001",2.55378383712636,41.5796637829718
"080060","01","004","08006001004",2.5621800066225,41.5867267947577
"080060","01","003","08006001003",2.55035737041722,41.5912516977346
"080060","02","001","08006002001",2.54836788559544,41.5779276274767
"080060","02","002","08006002002",2.54803985186879,41.5805918385925
"080060","02","003","08006002003",2.53509038944119,41.579296244064
"080060","02","004","08006002004",2.54162238372266,41.5879020858362
"080076","01","001","08007601001",2.51676516748516,41.6174767856729
"080076","01","002","08007601002",2.54353567400766,41.6239373359988
"080076","02","001","08007602001",2.52367319136269,41.5999168679463
"080076","02","002","08007602002",2.55227164222574,41.6022683303765
"080082","01","001","08008201001",1.45463966134576,41.5951230671974
"080095","01","001","08009501001",2.38659030254364,41.569024839474
"080095","01","002","08009501002",2.38929864154253,41.5459380570547
"080095","01","003","08009501003",2.41110307501086,41.5392348870711
"080095","01","004","08009501004",2.3708069591875,41.5674494641028
"080095","01","005","08009501005",2.39490957235396,41.553503929195
"080095","01","006","08009501006",2.40395968197155,41.5478745576789
"080095","02","001","08009502001",2.40863434847768,41.567747809314
"080095","02","002","08009502002",2.41596499925937,41.5522166408688
"080109","01","001","08010901001",1.94966842025146,41.7987127007789
"080109","02","001","08010902001",1.94828286008859,41.7942589717209
"080109","02","002","08010902002",1.95766679481391,41.7964561409477
"080109","02","003","08010902003",1.95579350022196,41.7951109679839
"080116","01","001","08011601001",1.83075007555497,42.0655896724219
"080121","01","001","08012101001",1.97651292711089,41.8606956856363
"080137","01","001","08013701001",1.78321057108943,41.352131224277
"080142","01","001","08014201001",2.26458795510243,41.7812613428136
"080155","01","001","08015501001",2.24765454872335,41.4450254087227
"080155","01","002","08015501002",2.24849700806194,41.4476998081891
"080155","01","003","08015501003",2.25005133942865,41.4486118853776
"080155","01","004","08015501004",2.25189121354963,41.4493648350199
"080155","01","005","08015501005",2.24524887619226,41.447508072489
"080155","01","007","08015501007",2.25026560483218,41.4513088705153
"080155","01","008","08015501008",2.25288532201224,41.4504249866787
"080155","02","001","08015502001",2.24045716368875,41.4498987751407
"080155","02","002","08015502002",2.24347341958368,41.4507561824665
"080155","02","003","08015502003",2.24629239602318,41.4509716926352
"080155","02","004","08015502004",2.24844979746998,41.4529068043149
"080155","02","005","08015502005",2.2353608442158,41.4499910297881
"080155","02","007","08015502007",2.23851309644017,41.4516510586377
"080155","02","008","08015502008",2.2456706992529,41.4538249854615
