Nom municipi,Districte,Secció,Cens electoral,Votants,xcoord,ycoord,MUNICIPI,area,Turnout,Density
ABELLA DE LA CONCA,1,1,134,62,1.11809864452755,42.1757721452445,250019.0,77962288.1531982,0.4626865671641791,1.7187797225331054
ABRERA,1,1,1143,623,1.90557880775581,41.5106888713415,80018.0,913868.783203125,0.5450568678915135,1250.7266043093914
ABRERA,1,2,1309,666,1.90086468708675,41.5200949734537,80018.0,126857.642822266,0.5087853323147441,10318.653026163945
ABRERA,1,3,615,387,1.9129792180351,41.5133545310869,80018.0,2567460.2857666,0.6292682926829268,239.53632444069973
ABRERA,1,4,1421,830,1.88155707192249,41.514791425751,80018.0,6637347.04638672,0.5840957072484166,214.0915624976357
ABRERA,1,5,1389,673,1.89970233882244,41.5175240629415,80018.0,101229.982421875,0.4845212383009359,13721.231267346819
ABRERA,1,7,1968,979,1.93015992475255,41.5186849249974,80018.0,9368354.30273438,0.4974593495934959,210.06891246903328
ABRERA,1,8,1418,808,1.90338945228976,41.5236473919134,80018.0,250982.612670898,0.5698166431593794,5649.7937642372
AGRAMUNT,1,1,576,301,1.12236162179825,41.8003621539982,250030.0,6428118.16552734,0.5225694444444444,89.60631792504502
AGRAMUNT,1,2,638,349,1.0669169677620451,41.83006913968355,250030.0,30954463.4758301,0.5470219435736677,20.610920958076495
AGRAMUNT,1,3,1337,767,1.05091370286691,41.756333827624,250030.0,39849401.2647705,0.5736724008975318,33.55131965764304
AGRAMUNT,1,4,1182,636,1.10411595332462,41.7772606555109,250030.0,2235636.82824707,0.5380710659898477,528.7084132205806
AGUILAR DE SEGARRA,1,1,218,170,1.617963491606,41.7295233461409,80023.0,43219824.71875,0.7798165137614679,5.043981585270644
AGULLANA,1,1,596,393,2.84087605736911,42.4057749252447,170010.0,27416383.1962891,0.6593959731543624,21.73882658893791
AIGUAFREDA,1,1,2048,1230,2.26458795510243,41.7812613428136,80142.0,7933523.12866211,0.6005859375,258.14508469774506
AIGUAMÚRCIA,1,1,739,404,1.42426183035433,41.3628180334045,430017.0,72772068.7186279,0.5466847090663058,10.154995082760836
AIGUAVIVA,1,1,600,446,2.77219464378813,41.9282191547349,170025.0,13983901.1921387,0.7433333333333333,42.9064816574434
AITONA,1,1,688,440,0.447277933973924,41.4783491711278,250387.0,66623409.5368652,0.6395348837209303,10.326700551392587
AITONA,1,2,728,462,0.498230523381395,41.4708401471066,250387.0,203716.251342773,0.6346153846153846,3573.5980571086943
ELS ALAMÚS,1,1,566,364,0.7648988314356995,41.6036626072363,250045.0,20322207.8563232,0.6431095406360424,27.851304543363906
L'ALBAGÉS,1,1,315,201,0.752680875404786,41.4460204450042,250061.0,26121570.697876,0.638095238095238,12.05899919431772
ALBANYÀ,1,1,112,77,2.66257886388325,42.3181760343215,170031.0,94029303.6248779,0.6875,1.1911180417416969
ALBATÀRREC,1,1,1399,742,0.617944803514129,41.5659257111555,250077.0,10684956.7158203,0.5303788420300214,130.93174237464348
ALBESA,1,1,1089,625,0.67026370581623,41.7592248989134,250083.0,38004122.2663574,0.573921028466483,28.654786245754753
