Nom municipi,Densitat,MUNICIPI
Abrera,630.05,80018
Aguilar de Segarra,6.51,80023
Aiguafreda,317.97,80142
Alella,1031.67,80039
Alpens,18.91,80044
Arenys de Mar,2344.26,80060
Arenys de Munt,428.22,80076
Argentona,493.54,80095
Argençola,4.65,80082
Artés,321.9,80109
Avinyonet del Penedès,58.32,80137
Avinyó,36.22,80121
Avià,81.62,80116
Badalona,10526.7,80155
Badia del Vallès,14905.56,89045
Bagà,49.65,80168
Balenyà,220.69,80174
Balsareny,86.5,80180
Barberà del Vallès,4016.14,82520
Barcelona,16428.25,80193
Begues,144.84,80207
Bellprat,2.06,80214
Berga,741.59,80229
Bigues i Riells,327.2,80235
Borredà,10.67,80240
Cabrera d'Anoia,87.18,80288
Cabrera de Mar,527.44,80291
Cabrils,1061.71,80305
Calaf,397.39,80312
Calders,31.57,80348
Caldes d'Estrac,3356.67,80327
Caldes de Montbui,474.99,80333
Calella,2409.63,80351
Calldetenes,433.28,80370
Callús,170.32,80386
Calonge de Segarra,5.07,80364
Campins,74.11,80399
Canet de Mar,2654.46,80403
Canovelles,2511.79,80410
Canyelles,330.92,80431
Capellades,1817.01,80446
Capolat,2.46,80459
Cardedeu,1522.64,80462
Cardona,69.55,80478
Carme,67.09,80484
Casserres,53.83,80497
Castell de l'Areny,2.75,80575
Castellar de n'Hug,3.31,80522
Castellar del Riu,5.38,80500
Castellar del Vallès,545.39,80517
Castellbell i el Vilar,130.49,80538
Castellbisbal,404.48,80543
Castellcir,21.7,80556
Castelldefels,5229.46,80569
Castellet i la Gornal,50.15,80581
Castellfollit de Riubregós,6.18,80608
Castellfollit del Boix,7.59,80594
Castellgalí,123.2,80615
Castellnou de Bages,49.21,80620
Castellolí,24.74,80636
Castellterçol,79.87,80641
Castellví de Rosanes,117.87,80667
Castellví de la Marca,55.46,80654
Centelles,494.28,80673
Cercs,24.26,82687
Cerdanyola del Vallès,1890.69,82665
Cervelló,376.64,80689
Collbató,251.05,80692
Collsuspina,23.77,80706
Copons,17.17,80713
Corbera de Llobregat,808.8,80728
Cornellà de Llobregat,12866.38,80734
Cubelles,1168.15,80749
Cànoves i Samalús,108.08,80425
Dosrius,138.87,80752
Esparreguera,813.94,80765
Esplugues de Llobregat,10250.0,80771
Fogars de Montclús,11.96,80811
Fogars de la Selva,45.76,80826
Folgueroles,215.71,80832
Fonollosa,28.22,80847
Font-rubí,38.04,80850
Fígols,1.47,80804
Gaià,4.63,80902
Gallifa,10.25,80879
Gavà,1529.81,80898
Gelida,287.27,80919
Gironella,727.35,80924
Gisclareny,0.71,80930
Granera,3.25,80958
Granollers,4189.19,80961
Gualba,66.44,80977
Guardiola de Berguedà,15.25,80996
Gurb,52.58,81000
Igualada,5029.88,81022
Jorba,26.96,81038
L'Hospitalet de Llobregat,21724.35,81017
Llinars del Vallès,362.97,81069
Lliçà d'Amunt,693.68,81075
Lliçà de Vall,601.57,81081
Lluçà,5.21,81094
Malgrat de Mar,2133.18,81108
Malla,24.73,81115
Manlleu,1215.81,81120
Manresa,1880.89,81136
Marganell,19.7,82423
Martorell,2247.81,81141
Martorelles,1338.89,81154
